	parent	child
696	root	K09602
697	root	K01132
698	root	K22665
699	root	K09837
700	root	K08244
701	root	K07555
702	root	K15884
703	root	K22148
704	root	K17425
705	root	K02773
706	root	K02521
707	root	K19724
708	root	K02994
709	root	K09868
710	root	K05570
711	root	K11139
712	root	K15235
713	root	K19863
714	root	K11267
715	root	K09793
716	root	K24227
717	root	K23713
718	root	K18183
719	root	K20770
720	root	K18447
721	root	K19274
722	root	K21738
723	root	K13128
724	root	K18266
725	root	K09507
726	root	K02843
727	root	K13112
728	root	K24383
729	root	K21467
730	root	K23325
731	root	K06722
732	root	K03827
733	root	K24789
734	root	K25760
735	root	K20960
736	root	K11547
737	root	K21747
738	root	K23498
739	root	K18336
740	root	K23180
741	root	K07812
742	root	K05427
743	root	K22224
744	root	K05082
745	root	K19475
746	root	K12423
747	root	K05174
748	root	K05465
749	root	K22320
750	root	K22484
751	root	K05028
752	root	K02335
753	root	K16281
754	root	K06058
755	root	K13339
756	root	K14925
757	root	K15236
758	root	K11830
759	root	K09435
760	root	K00718
761	root	K06359
762	root	K25450
763	root	K10418
764	root	K13739
765	root	K13422
766	root	K05240
767	root	K15910
768	root	K12783
769	root	K16133
770	root	K06686
771	root	K18660
772	root	K20993
773	root	K19922
774	root	K14715
775	root	K01881
776	root	K17655
777	root	K23100
778	root	K14606
779	root	K08301
780	root	K01591
781	root	K18390
782	root	K15292
783	root	K23251
784	root	K16422
785	root	K16090
786	root	K01712
787	root	K13565
788	root	K23939
789	root	K20135
790	root	K17613
791	root	K03935
792	root	K08187
793	root	K12636
794	root	K17140
795	root	K20293
796	root	K25112
797	root	K20280
798	root	K19208
799	root	K22761
800	root	K23677
801	root	K15138
802	root	K05909
803	root	K02137
804	root	K19218
805	root	K18417
806	root	K22724
807	root	K08582
808	root	K17789
809	root	K03412
810	root	K24137
811	root	K10782
812	root	K05175
813	root	K12428
814	root	K08131
815	root	K05613
816	root	K16751
817	root	K13025
818	root	K24561
819	root	K00350
820	root	K04979
821	root	K24512
822	root	K08775
823	root	K19519
824	root	K10059
825	root	K13341
826	root	K07094
827	root	K10581
828	root	K00209
829	root	K11896
830	root	K24197
831	root	K06859
832	root	K24031
833	root	K22569
834	root	K21093
835	root	K14560
836	root	K11337
837	root	K25216
838	root	K15350
839	root	K25538
840	root	K14086
841	root	K10944
842	root	K12157
843	root	K02146
844	root	K17534
845	root	K09370
846	root	K04248
847	root	K11528
848	root	K16582
849	root	K02092
850	root	K21781
851	root	K14470
852	root	K24361
853	root	K03601
854	root	K06647
855	root	K10176
856	root	K21307
857	root	K03365
858	root	K02262
859	root	K09126
860	root	K02779
861	root	K17540
862	root	K25650
863	root	K20367
864	root	K06305
865	root	K16221
866	root	K04991
867	root	K21072
868	root	K24845
869	root	K21110
870	root	K13717
871	root	K02458
872	root	K04190
873	root	K05283
874	root	K18282
875	root	K24140
876	root	K14190
877	root	K21135
878	root	K16731
879	root	K10539
880	root	K11882
881	root	K15851
882	root	K13262
883	root	K07699
884	root	K15202
885	root	K14121
886	root	K05936
887	root	K26005
888	root	K04217
889	root	K22976
890	root	K02617
891	root	K17085
892	root	K03192
893	root	K20412
894	root	K05985
895	root	K20691
896	root	K01750
897	root	K08865
898	root	K16137
899	root	K14815
900	root	K01095
901	root	K05422
902	root	K23840
903	root	K06823
904	root	K20463
905	root	K17090
906	root	K06736
907	root	K24418
908	root	K03202
909	root	K19156
910	root	K14072
911	root	K20723
912	root	K14808
913	root	K09130
914	root	K19735
915	root	K04091
916	root	K05535
917	root	K25255
918	root	K00661
919	root	K04346
920	root	K04712
921	root	K13830
922	root	K03364
923	root	K06270
924	root	K18859
925	root	K14534
926	root	K17490
927	root	K04134
928	root	K04690
929	root	K22754
930	root	K14530
931	root	K14238
932	root	K09458
933	root	K20570
934	root	K21286
935	root	K20882
936	root	K02933
937	root	K22730
938	root	K23284
939	root	K15990
940	root	K06490
941	root	K00659
942	root	K00058
943	root	K10206
944	root	K15797
945	root	K05960
946	root	K17520
947	root	K23352
948	root	K10324
949	root	K23515
950	root	K25920
951	root	K18846
952	root	K11865
953	root	K01658
954	root	K19803
955	root	K14404
956	root	K12810
957	root	K11863
958	root	K25456
959	root	K00112
960	root	K12551
961	root	K07578
962	root	K00113
963	root	K16035
964	root	K09038
965	root	K15607
966	root	K16418
967	root	K18867
968	root	K05282
969	root	K21418
970	root	K21536
971	root	K21162
972	root	K10712
973	root	K10781
974	root	K08164
975	root	K09657
976	root	K09067
977	root	K13947
978	root	K07452
979	root	K02311
980	root	K22448
981	root	K05073
982	root	K12349
983	root	K19049
984	root	K02326
985	root	K10755
986	root	K11377
987	root	K23523
988	root	K24160
989	root	K08876
990	root	K01198
991	root	K22274
992	root	K21005
993	root	K21443
994	root	K24253
995	root	K07586
996	root	K03139
997	root	K05263
998	root	K21873
999	root	K07757
1000	root	K16485
1001	root	K17158
1002	root	K23044
1003	root	K07319
1004	root	K14449
1005	root	K17279
1006	root	K08312
1007	root	K07630
1008	root	K06312
1009	root	K04488
1010	root	K15253
1011	root	K16838
1012	root	K24316
1013	root	K13796
1014	root	K09592
1015	root	K07055
1016	root	K16131
1017	root	K13790
1018	root	K08818
1019	root	K25270
1020	root	K00031
1021	root	K10770
1022	root	K24600
1023	root	K24905
1024	root	K23005
1025	root	K13981
1026	root	K21492
1027	root	K06285
1028	root	K08474
1029	root	K25141
1030	root	K01576
1031	root	K19402
1032	root	K19909
1033	root	K15968
1034	root	K20947
1035	root	K08472
1036	root	K15516
1037	root	K19806
1038	root	K07080
1039	root	K09273
1040	root	K24338
1041	root	K25425
1042	root	K25076
1043	root	K13236
1044	root	K12569
1045	root	K04014
1046	root	K21895
1047	root	K08668
1048	root	K00837
1049	root	K11699
1050	root	K24030
1051	root	K20244
1052	root	K14398
1053	root	K03304
1054	root	K07058
1055	root	K24647
1056	root	K05595
1057	root	K13158
1058	root	K09421
1059	root	K02509
1060	root	K25418
1061	root	K20860
1062	root	K06921
1063	root	K15765
1064	root	K20073
1065	root	K13769
1066	root	K22853
1067	root	K11772
1068	root	K05443
1069	root	K18441
1070	root	K16229
1071	root	K22338
1072	root	K22767
1073	root	K06297
1074	root	K18062
1075	root	K21051
1076	root	K04894
1077	root	K13420
1078	root	K24555
1079	root	K21879
1080	root	K23019
1081	root	K10644
1082	root	K03661
1083	root	K04810
1084	root	K23221
1085	root	K20529
1086	root	K16776
1087	root	K16909
1088	root	K22972
1089	root	K18993
1090	root	K02334
1091	root	K01340
1092	root	K19665
1093	root	K04026
1094	root	K18453
1095	root	K02914
1096	root	K25683
1097	root	K03985
1098	root	K12511
1099	root	K10254
1100	root	K24943
1101	root	K20702
1102	root	K05036
1103	root	K12202
1104	root	K23016
1105	root	K14280
1106	root	K25701
1107	root	K22971
1108	root	K07380
1109	root	K10911
1110	root	K07489
1111	root	K17919
1112	root	K06400
1113	root	K02305
1114	root	K08392
1115	root	K09280
1116	root	K09345
1117	root	K23152
1118	root	K10981
1119	root	K20072
1120	root	K22993
1121	root	K09584
1122	root	K06910
1123	root	K22753
1124	root	K25449
1125	root	K20915
1126	root	K10957
1127	root	K10142
1128	root	K14332
1129	root	K11792
1130	root	K10626
1131	root	K18782
1132	root	K01257
1133	root	K12530
1134	root	K23873
1135	root	K04573
1136	root	K19298
1137	root	K23406
1138	root	K25698
1139	root	K00201
1140	root	K10618
1141	root	K05647
1142	root	K06232
1143	root	K10501
1144	root	K22053
1145	root	K25322
1146	root	K00196
1147	root	K25556
1148	root	K16426
1149	root	K16084
1150	root	K22291
1151	root	K19752
1152	root	K20393
1153	root	K01202
1154	root	K20068
1155	root	K04394
1156	root	K00464
1157	root	K19046
1158	root	K17477
1159	root	K12493
1160	root	K24135
1161	root	K23684
1162	root	K01800
1163	root	K06189
1164	root	K16698
1165	root	K03708
1166	root	K24076
1167	root	K24105
1168	root	K22177
1169	root	K17618
1170	root	K13113
1171	root	K13457
1172	root	K18275
1173	root	K05376
1174	root	K10391
1175	root	K10186
1176	root	K25120
1177	root	K15576
1178	root	K24757
1179	root	K00706
